,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,City,index
0,2024-05-17,17.1,9.0,23.0,0.0,,107.0,24.6,51.8,1017.7,,Warszawa,
1,2024-05-18,17.4,10.1,24.2,1.0,,122.0,13.8,31.5,1014.3,,Warszawa,
2,2024-05-19,17.8,11.0,24.4,0.0,,134.0,10.9,29.6,1012.5,,Warszawa,
3,2024-05-20,19.7,15.0,25.0,0.3,,254.0,6.3,18.5,1012.1,,Warszawa,
4,2024-05-21,21.4,13.0,28.0,0.0,,110.0,11.5,35.2,1012.9,,Warszawa,
5,2024-05-22,21.9,14.9,28.8,0.0,,92.0,18.3,37.0,1010.3,,Warszawa,
6,2024-05-23,18.3,16.0,23.9,0.5,,140.0,10.5,20.4,1014.1,,Warszawa,
7,2024-05-24,21.1,14.4,29.2,6.1,,118.0,10.3,33.3,1018.6,,Warszawa,
8,2024-05-25,20.6,14.0,27.8,0.0,,117.0,12.8,27.8,1019.3,,Warszawa,
9,2024-05-26,21.1,13.9,28.6,2.3,,120.0,10.4,29.6,1020.6,,Warszawa,
10,2024-05-27,21.7,13.0,28.8,0.0,,133.0,13.8,31.5,1020.6,,Warszawa,
11,2024-05-28,21.6,12.9,28.7,0.0,,135.0,12.8,35.2,1016.6,,Warszawa,
12,2024-05-29,19.9,16.0,26.0,0.8,,286.0,8.7,22.2,1013.2,,Warszawa,
13,2024-05-30,19.8,14.0,26.7,6.4,,97.0,9.6,27.8,1008.0,,Warszawa,
14,2024-05-31,20.5,14.4,25.8,0.0,,98.0,12.5,25.9,1007.9,,Warszawa,
15,2024-06-01,18.6,15.0,24.7,2.0,,124.0,10.8,24.1,1009.2,,Warszawa,
16,2024-06-02,17.9,13.0,24.0,2.0,,219.0,9.1,24.1,1009.4,,Warszawa,
17,2024-06-03,18.4,14.0,23.9,1.3,,289.0,12.4,27.8,1011.8,,Warszawa,
18,2024-06-04,17.4,14.0,20.8,12.2,,319.0,12.5,25.9,1012.1,,Warszawa,
19,2024-06-05,18.5,13.0,24.7,0.0,,253.0,10.8,27.8,1011.4,,Warszawa,
20,2024-06-06,19.1,14.3,23.3,0.3,,288.0,11.5,31.5,1014.8,,Warszawa,
21,2024-06-07,17.7,14.0,22.4,5.8,,168.0,9.6,22.2,1015.8,,Warszawa,
22,2024-06-08,17.4,9.0,22.9,0.5,,227.0,9.1,22.2,1014.3,,Warszawa,
23,2024-06-09,19.4,15.0,23.0,2.2,,273.0,14.4,37.0,1006.3,,Warszawa,
24,2024-06-10,17.6,14.9,21.0,5.9,,8.0,10.5,24.1,1004.7,,Warszawa,
25,2024-06-11,17.4,11.0,23.0,0.3,,246.0,16.4,37.0,1007.9,,Warszawa,
26,2024-06-12,14.6,8.0,19.0,0.0,,255.0,11.6,25.9,1015.9,,Warszawa,
27,2024-06-13,13.7,9.0,18.1,0.1,,227.0,7.4,14.8,1017.0,,Warszawa,
28,2024-06-14,15.0,8.0,20.0,0.0,,268.0,5.7,16.7,1016.0,,Warszawa,
29,2024-06-15,18.8,12.3,23.9,0.0,,129.0,12.2,29.6,1012.6,,Warszawa,
30,2024-05-17,14.8,10.0,21.9,0.5,,75.0,21.3,46.3,1013.7,,Kraków,
31,2024-05-18,16.6,10.0,23.8,0.5,,59.0,5.0,20.4,1013.8,,Kraków,
32,2024-05-19,16.4,10.0,22.0,1.5,,341.0,6.0,24.1,1012.2,,Kraków,
33,2024-05-20,17.4,9.0,25.2,0.0,,218.0,5.2,20.4,1012.7,,Kraków,
34,2024-05-21,19.3,11.0,27.0,0.0,,64.0,10.3,33.3,1011.6,,Kraków,
35,2024-05-22,17.8,15.0,25.2,19.1,,247.0,8.3,24.1,1009.1,,Kraków,
36,2024-05-23,17.8,15.0,21.9,0.2,,251.0,8.5,22.2,1014.4,,Kraków,
37,2024-05-24,17.9,14.8,24.4,0.0,,47.0,9.3,27.8,1018.1,,Kraków,
38,2024-05-25,18.0,10.6,26.0,1.0,,38.0,6.0,22.2,1019.4,,Kraków,
39,2024-05-26,18.3,12.0,26.9,0.0,,46.0,8.9,27.8,1020.0,,Kraków,
40,2024-05-27,19.7,10.6,27.6,3.8,,56.0,9.7,31.5,1019.5,,Kraków,
41,2024-05-28,19.3,11.0,27.2,0.0,,62.0,11.6,35.2,1016.0,,Kraków,
42,2024-05-29,18.9,14.0,24.2,0.0,,256.0,9.2,22.2,1013.8,,Kraków,
43,2024-05-30,19.4,14.0,25.2,0.0,,80.0,9.1,27.8,1007.1,,Kraków,
44,2024-05-31,18.7,12.5,25.8,0.0,,72.0,6.7,24.1,1006.6,,Kraków,
45,2024-06-01,17.1,14.0,25.0,0.5,,255.0,5.5,25.9,1009.0,,Kraków,
46,2024-06-02,16.7,14.0,20.5,3.6,,243.0,15.3,42.6,1011.9,,Kraków,
47,2024-06-03,18.2,14.0,24.1,1.5,,272.0,11.3,25.9,1013.8,,Kraków,
48,2024-06-04,15.7,15.0,20.4,7.6,,293.0,10.1,25.9,1012.3,,Kraków,
49,2024-06-05,18.1,12.0,24.3,25.9,,234.0,10.3,33.3,1013.2,,Kraków,
50,2024-06-06,20.9,15.0,26.4,0.0,,258.0,9.3,27.8,1015.9,,Kraków,
51,2024-06-07,19.7,14.0,26.1,1.3,,240.0,8.7,27.8,1016.2,,Kraków,
52,2024-06-08,20.3,14.0,26.0,0.1,,76.0,9.3,22.2,1014.1,,Kraków,
53,2024-06-09,20.1,16.0,25.0,5.1,,256.0,9.3,25.9,1007.3,,Kraków,
54,2024-06-10,18.8,17.0,23.0,3.6,,277.0,7.4,27.8,1004.7,,Kraków,
55,2024-06-11,18.1,14.0,22.0,0.6,,265.0,9.0,29.6,1009.4,,Kraków,
56,2024-06-12,12.5,9.0,14.0,1.0,,271.0,7.0,18.5,1017.6,,Kraków,
57,2024-06-13,11.0,7.6,13.3,7.0,,38.0,5.9,20.4,1017.9,,Kraków,
58,2024-06-14,14.4,7.6,19.7,0.0,,128.0,5.1,16.7,1017.2,,Kraków,
59,2024-06-15,18.7,11.7,25.0,0.0,,54.0,8.3,20.4,1012.1,,Kraków,
60,2024-05-17,16.7,11.0,23.0,0.0,,89.0,20.1,51.8,1015.1,,Łódź,
61,2024-05-18,16.9,12.0,22.0,1.1,,101.0,7.4,25.9,1013.4,,Łódź,
62,2024-05-19,16.3,11.0,23.0,6.8,,97.0,8.3,24.1,1011.8,,Łódź,
63,2024-05-20,17.7,12.0,24.0,1.7,,132.0,5.0,20.4,1012.2,,Łódź,
64,2024-05-21,20.2,11.9,26.0,0.0,,84.0,10.8,33.3,1012.4,,Łódź,
65,2024-05-22,19.4,16.0,27.0,11.8,,87.0,14.5,35.2,1009.2,,Łódź,
66,2024-05-23,17.7,15.0,21.0,6.6,,227.0,8.1,20.4,1013.7,,Łódź,
67,2024-05-24,18.2,14.0,25.0,1.6,,76.0,7.0,25.9,1018.4,,Łódź,
68,2024-05-25,18.3,11.0,25.0,3.6,,149.0,7.6,22.2,1019.0,,Łódź,
69,2024-05-26,19.5,11.0,26.2,1.3,,99.0,6.6,25.9,1020.2,,Łódź,
70,2024-05-27,21.1,13.7,28.0,0.0,,109.0,8.6,31.5,1019.5,,Łódź,
71,2024-05-28,19.9,12.0,26.8,0.7,,105.0,9.5,25.9,1016.0,,Łódź,
72,2024-05-29,17.8,15.0,23.0,1.5,,292.0,8.9,20.4,1014.2,,Łódź,
73,2024-05-30,18.7,12.0,26.0,2.3,,86.0,8.4,27.8,1007.6,,Łódź,
74,2024-05-31,19.0,12.0,25.0,0.0,,86.0,10.1,25.9,1007.1,,Łódź,
75,2024-06-01,17.9,15.0,22.0,9.2,,122.0,9.5,22.2,1008.6,,Łódź,
76,2024-06-02,16.7,13.0,21.0,4.1,,254.0,8.1,27.8,1010.0,,Łódź,
77,2024-06-03,17.1,11.9,22.0,2.5,,269.0,10.6,29.6,1013.0,,Łódź,
78,2024-06-04,16.6,15.0,18.2,0.0,,296.0,10.7,20.4,1012.9,,Łódź,
79,2024-06-05,18.6,13.0,24.0,0.0,,234.0,8.9,29.6,1011.7,,Łódź,
80,2024-06-06,18.6,15.0,23.0,4.2,,269.0,9.7,31.5,1015.4,,Łódź,
81,2024-06-07,18.0,14.0,22.0,8.2,,26.0,9.8,27.8,1015.7,,Łódź,
82,2024-06-08,17.4,9.0,23.0,0.0,,131.0,6.0,22.2,1013.9,,Łódź,
83,2024-06-09,18.6,14.0,22.0,5.0,,290.0,10.6,31.5,1006.5,,Łódź,
84,2024-06-10,17.5,12.0,21.6,7.9,,5.0,8.6,24.1,1004.6,,Łódź,
85,2024-06-11,15.3,9.0,20.0,0.2,,242.0,16.3,42.6,1009.0,,Łódź,
86,2024-06-12,13.1,5.7,18.0,0.0,,228.0,8.5,25.9,1016.5,,Łódź,
87,2024-06-13,13.3,6.9,19.0,0.3,,138.0,5.6,14.8,1016.9,,Łódź,
88,2024-06-14,14.4,7.0,20.0,0.0,,104.0,5.1,18.5,1016.0,,Łódź,
89,2024-06-15,18.9,12.6,24.4,0.0,,127.0,11.6,29.6,1011.3,,Łódź,
90,2024-05-17,15.9,10.0,23.0,0.1,,115.0,21.5,48.2,1012.4,,Wrocław,
91,2024-05-18,14.5,9.0,21.0,0.9,,143.0,14.5,38.9,1012.6,,Wrocław,
92,2024-05-19,16.8,12.3,21.6,6.4,,146.0,11.9,31.5,1011.2,,Wrocław,
